uid,gid,player,pa,pc,py,ints,tdp,ra,ry,tdr,snp,fp,game,seas,year,posd
28802,1387,AR-1300,1,1,0,0,0,0,0,0,0,0,1,1,2005,NA
32003,1543,AR-1300,15,8,65,1,0,1,8,0,0,-2.6,2,1,2005,NA
32444,1564,AR-1300,0,0,0,0,0,1,-1,0,0,-0.1,3,1,2005,NA
34140,1646,AR-1300,3,2,14,0,0,0,0,0,0,0.56,1,2,2006,NA
35978,1737,AR-1300,12,4,32,0,0,2,11,0,0,0.38,2,2,2006,NA
41236,1989,AR-1300,2,2,17,0,0,2,-1,0,0,0.58,1,3,2007,NA
42072,2030,AR-1300,26,18,201,0,1,5,30,0,0,15.04,2,3,2007,NA
44212,2135,AR-1300,22,18,178,0,1,8,35,1,0,20.62,1,4,2008,NA
44338,2141,AR-1300,38,24,328,0,3,4,25,0,0,25.62,2,4,2008,NA
44854,2166,AR-1300,39,22,290,0,0,5,10,1,0,18.6,3,4,2008,NA
45045,2175,AR-1300,27,14,165,3,2,2,8,0,0,9.4,4,4,2008,NA
45369,2191,AR-1300,37,25,313,1,3,2,4,0,0,22.92,5,4,2008,NA
45672,2206,AR-1300,30,21,208,0,2,6,23,1,0,22.62,6,4,2008,NA
45951,2220,AR-1300,28,21,186,0,1,3,8,0,0,12.24,7,4,2008,NA
46446,2244,AR-1300,41,22,314,1,1,2,11,0,0,13.66,8,4,2008,NA
46740,2258,AR-1300,26,15,142,0,0,1,1,0,0,5.78,9,4,2008,NA
46998,2271,AR-1300,30,23,227,1,2,1,1,0,0,15.18,10,4,2008,NA
47525,2296,AR-1300,41,23,248,3,2,8,36,1,0,23.52,11,4,2008,NA
47675,2303,AR-1300,45,29,298,1,3,5,26,0,0,26.52,12,4,2008,NA
47950,2316,AR-1300,30,19,295,1,2,1,4,0,0,18.2,13,4,2008,NA
48403,2338,AR-1300,32,20,278,1,1,5,22,0,0,15.32,14,4,2008,NA
48848,2360,AR-1300,39,24,260,1,2,2,-6,0,0,15.8,15,4,2008,NA
49034,2369,AR-1300,32,21,284,0,3,1,-1,0,0,23.26,16,4,2008,NA
49690,2401,AR-1300,28,17,184,0,1,3,7,0,0,14.06,1,5,2009,NA
49791,2406,AR-1300,39,21,261,0,1,4,43,0,0,18.74,2,5,2009,NA
50247,2428,AR-1300,23,13,269,0,2,8,38,1,0,28.56,3,5,2009,NA
50679,2449,AR-1300,37,26,384,1,2,2,16,0,0,22.96,4,5,2009,NA
51016,2465,AR-1300,37,29,358,1,2,3,9,0,0,19.22,5,5,2009,NA
51312,2479,AR-1300,20,15,246,0,3,4,23,0,0,24.14,6,5,2009,NA
51670,2496,AR-1300,41,26,287,0,3,5,52,0,0,30.68,7,5,2009,NA
51956,2510,AR-1300,35,17,266,3,2,3,26,1,0,21.24,8,5,2009,NA
52336,2528,AR-1300,36,25,189,0,1,5,15,1,0,19.06,9,5,2009,NA
52494,2536,AR-1300,45,32,344,0,2,7,13,0,0,23.06,10,5,2009,NA
52745,2548,AR-1300,39,28,348,0,3,1,5,0,0,24.42,11,5,2009,NA
53393,2579,AR-1300,40,26,263,2,3,4,30,0,0,21.52,12,5,2009,NA
53482,2583,AR-1300,24,16,180,0,0,3,6,0,0,7.8,13,5,2009,NA
53905,2604,AR-1300,48,26,383,0,3,3,22,1,0,37.52,14,5,2009,NA
54167,2616,AR-1300,23,12,237,0,1,1,9,0,0,14.38,15,5,2009,NA
54641,2638,AR-1300,26,21,235,0,1,2,2,1,0,19.6,16,5,2009,NA
54834,2647,AR-1300,42,28,423,1,4,3,13,1,0,36.22,17,5,2009,NA
55229,2666,AR-1300,31,19,188,2,2,5,9,0,0,12.42,1,6,2010,NA
55427,2676,AR-1300,29,19,255,0,2,5,20,1,0,26.2,2,6,2010,NA
55968,2702,AR-1300,45,34,316,1,1,2,20,1,0,22.64,3,6,2010,NA
56041,2706,AR-1300,17,12,181,2,3,3,20,0,0,17.24,4,6,2010,NA
56367,2722,AR-1300,46,27,293,1,1,4,30,0,0,16.72,5,6,2010,NA
56578,2732,AR-1300,33,18,313,1,1,4,14,1,0,21.92,6,6,2010,NA
57099,2757,AR-1300,34,21,295,2,2,3,14,0,0,17.2,7,6,2010,NA
57232,2764,AR-1300,34,15,170,0,0,3,5,0,0,7.3,8,6,2010,NA
57636,2783,AR-1300,34,27,289,0,3,5,41,0,0,27.66,9,6,2010,NA
58151,2808,AR-1300,31,22,301,0,4,3,21,0,0,30.14,10,6,2010,NA
58360,2818,AR-1300,35,26,344,0,1,12,51,1,0,26.86,11,6,2010,NA
58681,2834,AR-1300,30,21,298,0,3,4,39,0,0,27.82,12,6,2010,NA
59011,2850,AR-1300,11,7,46,1,0,2,25,0,0,2.34,13,6,2010,NA
59856,2891,AR-1300,38,25,401,0,4,2,26,0,0,34.64,14,6,2010,NA
60003,2898,AR-1300,28,19,229,1,1,7,21,0,0,13.26,15,6,2010,NA
60345,2914,AR-1300,27,18,180,0,3,3,4,0,0,17.6,16,6,2010,NA
60387,2916,AR-1300,36,31,366,0,3,2,13,1,0,33.94,17,6,2010,NA
60446,2919,AR-1300,30,17,244,2,0,7,39,1,0,15.66,18,6,2010,NA
60493,2921,AR-1300,39,24,304,0,3,2,-2,0,0,23.96,19,6,2010,NA
60514,2922,AR-1300,35,27,312,0,3,4,1,0,0,24.58,1,7,2011,NA
61009,2945,AR-1300,30,19,308,0,2,5,13,0,0,21.62,2,7,2011,NA
61441,2966,AR-1300,38,28,297,1,3,1,3,0,0,22.18,3,7,2011,NA
61759,2981,AR-1300,38,29,408,1,4,9,36,2,0,45.92,4,7,2011,NA
62102,2997,AR-1300,39,26,396,0,2,1,-1,0,0,25.74,5,7,2011,NA
62225,3003,AR-1300,29,18,316,1,3,7,15,0,0,24.14,6,7,2011,NA
62619,3021,AR-1300,30,24,335,0,3,2,8,0,0,26.2,7,7,2011,NA
63213,3049,AR-1300,26,21,247,0,4,8,52,0,0,31.08,8,7,2011,NA
63585,3067,AR-1300,31,23,243,0,4,6,21,0,0,27.82,9,7,2011,NA
63654,3070,AR-1300,34,23,299,1,3,5,28,0,0,24.76,10,7,2011,NA
63913,3082,AR-1300,33,22,307,0,2,1,-1,0,0,20.18,11,7,2011,NA
64516,3111,AR-1300,46,28,369,1,4,4,32,0,0,31.96,12,7,2011,NA
64757,3122,AR-1300,30,17,281,1,2,0,0,0,0,17.24,13,7,2011,NA
65079,3137,AR-1300,35,17,235,0,1,3,32,1,0,22.6,14,7,2011,NA
65560,3160,AR-1300,29,21,283,0,5,4,18,0,0,33.12,15,7,2011,NA
66078,3185,AR-1300,46,26,264,1,2,7,66,0,0,21.16,16,7,2011,NA
66410,3201,AR-1300,44,30,303,1,2,5,27,0,68,22.82,1,8,2012,NA
66492,3205,AR-1300,32,22,219,1,1,3,-6,0,68,10.16,2,8,2012,NA
67150,3236,AR-1300,39,26,223,0,0,2,17,0,75,12.62,3,8,2012,NA
67430,3249,AR-1300,41,31,319,1,4,5,13,0,69,28.06,4,8,2012,NA
67558,3255,AR-1300,32,20,235,1,3,5,57,0,67,27.1,5,8,2012,NA
68050,3278,AR-1300,37,24,338,0,6,2,17,0,66,39.22,6,8,2012,NA
68220,3286,AR-1300,37,30,342,0,3,2,0,0,68,25.68,7,8,2012,NA
68488,3299,AR-1300,35,22,186,0,2,3,4,0,67,13.84,8,8,2012,NA
68751,3311,AR-1300,30,14,218,1,4,8,33,0,71,26.02,9,8,2012,NA
69374,3340,AR-1300,27,19,236,1,2,1,3,0,64,15.74,10,8,2012,NA
69860,3363,AR-1300,25,14,219,1,1,3,22,0,52,10.96,11,8,2012,NA
70032,3372,AR-1300,35,27,286,1,1,4,15,0,82,14.94,12,8,2012,NA
70522,3395,AR-1300,24,14,173,0,0,3,32,1,53,14.12,13,8,2012,NA
70583,3398,AR-1300,36,23,291,0,3,4,14,0,74,24.94,14,8,2012,NA
71057,3421,AR-1300,38,27,342,0,3,4,11,1,63,32.78,15,8,2012,NA
71454,3439,AR-1300,40,28,365,0,4,0,0,0,64,28.6,16,8,2012,NA
71599,3446,AR-1300,33,23,274,0,1,2,12,0,67,16.16,17,8,2012,NA
71682,3450,AR-1300,39,26,257,1,2,3,28,0,58,19.08,18,8,2012,NA
72004,3467,AR-1300,37,21,333,1,3,2,13,0,62,24.62,1,9,2013,NA
72267,3480,AR-1300,42,34,480,0,4,3,-3,0,72,34.9,2,9,2013,NA
72530,3492,AR-1300,43,26,244,2,1,3,24,0,81,12.16,3,9,2013,NA
73245,3526,AR-1300,30,20,274,0,1,5,8,0,67,15.76,4,9,2013,NA
73529,3540,AR-1300,32,17,315,1,1,5,21,0,68,16.7,5,9,2013,NA
73949,3560,AR-1300,36,25,260,0,3,4,12,0,71,23.6,6,9,2013,NA
74248,3574,AR-1300,29,24,285,0,2,6,31,0,76,22.5,7,9,2013,NA
74530,3588,AR-1300,2,1,27,0,0,1,9,0,7,1.98,8,9,2013,NA
76943,3704,AR-1300,39,25,318,2,3,1,5,0,78,21.22,9,9,2013,NA
77175,3715,AR-1300,26,17,177,0,1,2,11,0,63,12.18,10,9,2013,NA
